Comment,Insult
i like the pictures you know she just wants to ask are you fucking retarded,0
more crapple stuff for the fanboys to jurk off to in their mom s basement,1
how dare you say such a hateful thing,0
hey bertone you are the certified liar here your saying others continue to invent fairy tales and repeat legends would be funny hilarious if your fairy tales were not so deadly to the poor kids under your wicked influence you and your church are a damned disgrace shame on you,1
we did not even know who the rebels really are do you really want them to have weapons they can use against us,0
say it is not so nbc caught editing tapes again they has been editing stories for years to fit their fleabagger viewpoint for years now it is just that no one ever called them on it you all have to remember that msnbc nbc all the rest of the fleabagger libtard networks are nothing but a bunch of focking hacks i just cannot wait until these fleabaggers are off the air permanently there are fleabagger networks compared to the one conservative network which is fox fox network has been beating all the fleabagger networks in the nielsen ratings for the last years ha ha ha you stupid fleabagger libtards will never learn will you you fleabagger networks are losing viewership because of your made up news even other fleabaggers know the bullshlt you are up to they do not appreciate it,1
he had a democratic congress at first and still got nothing done even his hollywood friends are jumping ship,0
you p nk a chump i will knock your block off you internet coward ny bamma,1
so they send a guy to blow up a tree and his own leg geniuses,0
i would support more money for the schools if the teachers union would not suck the fund dry an increase in education money does very little to protect or educate the children it goes to protect the tenure of teachers that are educated far beyond their intelligence,0
how old are you,0
whiny bastard you are up to your fucking eyeballs in this lie do not try and back pedal it now face it your name will be forever linked to the most lying corrupt disingenuous filthy group ever to mislabel itself as news do not like that too bad you should have thought of that before you sold your soul to rupert murdoch for your thirty pieces of silver you made your dinner now eat it baby scum sucking little dirt bag one lie does not cover up another,1
ordering police to stand spectators you must be thinking of congressmen like jagdish tytler who comes from the sekoolar party over were killed by police firing in those riots and it is well known the fact that you see an opportunity to spread slander and lies says volumes about you,1
name calling one of the many techniques used by the disinformationalist who has no viable logical well reasoned comment,0
the people trying to say legalize all drugs are who the news agencies use as example to why we should not legalize pot they hurt the cause more than they know,0
this is another bit of prima facie evidence that the profit motive must be taken out of television news it is the single greatest contributor to the dumbing down of america imo without profit cnn msnbc fox all go away,0
you are a moron,1
i watched some stupid movie on scyfy about a giant shark that can walk on land i was like oh that is realistic i will keep watching,0
i would have paid good money to watch you do that only to watch you get your ass beat down afterwards instead you made some sarcastic comment in your head and went back to drinking your fruity little drink with the umbrella in it right,1
desperate sad women,0
white people invented taco bell you ignorant fuck you dumb as this nigger in the video and i aint no fucking wetback wetbacks are mexicans who swam across the border i was born and raised in san jose california so fuck you and by the way i like peanut butter and cell phones so stick a burrito up your ass im sure thats the only way you can enjoy it,1
i also havee an objection to my money being used to offset their pollution fuckwits,0
the pills are your little technicolor friends they stop the voices in your head,1
do not be a fucking asshole do not strike up awkward conversations with strangers on the subway,0
you are probably a phuuking dyke aint ya beotch,1
i am not saying i agree with that nonsense like i said i do not understand it nor would i want to live in a city like san francisco for that very reason but that does not mean they do not have a right to live their life the way they want to who am i or anyone else to tell them how to live their lives i know one gay person a relative and he is the kindest most giving sincere person i have ever known when i hear comments from bigots like skeeter it makes my blood boil,0
even without the pool of water,0
hehehe profootballtalk anthony hargrove denies voice on videotape is his ozr it s refreshing that anthony hargrove has broken out the always effective eddie murphy defense,0
unless it was the world wars war is now and always has been fought my the poor and disenfranchised it is simply the way society wroks,0
this why the poeple of the uk cannot get work,0
this kind of shit just sets us further away from eachother,0
one thing i have learned in years people that make childish plays on obama s name or call him things such as the messiah are really pea brains,0
national post national inquirer,0
no people have a right to speak no matter how stupid they are,1
you cant be president of harvard law review without top grades what dont you understand,0
bitsko micah carter i am sorry what is your dispute what is your argument you are asking me to check what out in particular,0
if the motherfucking communist murderers in media education and unions hush up the fact that soetero dunham is a foriegn saboteur they will certainly not be helpful now jackasses,0
making all care for the least among us voluntary is a great way to put all the burden on the good guys while leaving the greedy bastards with plenty of money to destroy the good guys the only people that object to being required to do good are the ones who would not do good otherwise,0
beta does mean something it means do not be calling us if you need any support because it is a beta product,0
no she is not a toad but you are a libturd,1
stop glorifying these idiots and you will be better off go browns,0
do not go changing your mind like some fucking pms ing girl yeah this is beautiful not sexist,1
thats why you use a hollow point,0
allinit your hypocrisy is sickening you ignorant loser,1
you are a f ing pos are not you weak pathetic loser liberal turd i suppose you kept your virginity until you were married right or maybe you are still a virgin a s e x scares you maybe you are just a perfect holy roller oh wait that cannot be because you think holy rollers are all republicans hmm ok i will bet you are just an id iot,1
software akuntansi laporan keuangan terbaik diskusi blogger pemula,0
bitch stfu u prolly smash anything walkin lame ass internet thug,1
you are right there were not enough toothpick hangovers and tailwhips go fuck yourself,1
lol look at the brain tdamage momma drink when she was pregnant,1
the answer to your question as you are well aware is no,0
i would like to see everything in japan yes everything because i am dying to go japan soon but im afraid that i dont know japanese can you tell us your itinerary any hotel reccomend shop that couldnt miss and japanese culture hehee twitter is,0
stop calling them rich also drew franklin sounds like a little bitch,0
il ponte sullo stretto la maddalena la new town di l aquila l expo le olimpiadi gli europei e via dicendo,0
chavez is a total joke at the plate an automatic out he is only decent as a late inning defensive replacement you would know that if you were not so f cking stupid we have pearce betemit flaherty and andino once brob comes back to take over in the outfield until reimold and markakis get back none of them will make anyone s all star team but they all look like babe ruth at the plate compared to chavez grow a brain for chrissakes your ignorance is appalling,1
keep it movin bitch ass nigga,1
trolls believe in posting stupid messages to get a rise out of people,0
can we see a picture of you are a stunning model doubt it very much your probably some fat troll sitting on their ass at their computer eating junk food,1
i think one might get rabies from biting you do you actually read what you type you are a psycho and you may be newish here but you sound like this old fart who used to fill this forum with similar mindless drivel why do you hate romney so much clearly even such a mentally senile old dip stick like yourself recognizes that he is nothing more than the white version of barrack obama i do not really think you are on drugs only someone mentally disturbed can sound like a as much a crackpot as you do,1
get a brain transplant see sense granny,0
i hope you all stand by me when i say this zroth shut your mouth you ungratefull bastard i d like to kick your teeth in dreamteam dev bigboss and many others are breaking their backs to get us the new tool and if we must wait a little longer then we will i am very grateful for all they have done thus far so keep your pathetic whining to yourself you arsehole in fact do the world a favor and go and slit your wrists you pathetic little worm dreamteam bigboss dev and all the hackers doing the job good work fellas keep up the good work and thank you again for all the work you guys have done this far,1
i see celtics fans are having a hate the heat orgy here but watch you guys disappear at the end of the game,0
that crazy b tch was irish you idiot,1
dre wtf are you doing not even close,0
he is never looked into mckenna s spending spree such as the shiny new storefront offices the ag rents at exorbitant rates from buddy putnam in tacoma this has nothing to do with republican democrat it is all about buddies having each other s back and making well for themselves the definition of corruption and collusion,0
nice use of vulgarity attached to a teen you have real internet muscles nice racist screen name too if a male you fit the bill as a female nick name disgusting no way that you are a patriotic conservative,1
i pull nothing from you hanni but keep parroting me in lieu of thinking for yourself it will at least make you sound a little smarter than you really are,1
i was just goin to say that i love brenda s got a baby and i just do not give a fuck,0
i see you and your sister got together to have a couple of kids,1
not tonight tv chill with that the brewer and dodger fans are just enjoying the game wherever they are hoping that their team wins simple are not it,0
the article was about bush you asshole,1
gee that sounds like great advice now here s some for you mind your own f cking business assh le now fuckoff,1
i like your content thanks for nice posting,0
